a4,b3,c0,1
a3,b0,c0,1
a3,b3,c0,1
a1,b3,c0,1
a0,b3,c0,1
a1,b0,c0,1
a2,b3,c0,1
a0,b0,c0,1
a2,b1,c0,1
a1,b4,c0,1
a1,b1,c0,1
a3,b1,c0,1
a4,b1,c0,1
a2,b0,c0,1
a2,b4,c0,1
a0,b1,c0,1
a4,b4,c0,1
a1,b2,c0,1
a0,b2,c0,1
a2,b2,c0,1
a3,b4,c0,1
a4,b0,c0,1
a3,b2,c0,1
a0,b4,c0,1
a4,b2,c0,1
a0,b1,c1,1
a2,b1,c1,1
a1,b4,c1,1
a0,b2,c1,1
a3,b0,c1,1
a1,b1,c1,1
a3,b2,c1,1
a3,b1,c1,1
a0,b4,c1,1
a4,b0,c1,1
a4,b1,c1,1
a2,b2,c1,1
a2,b4,c1,1
a2,b0,c1,1
a3,b4,c1,1
a4,b2,c1,1
a3,b3,c1,1
a1,b2,c1,1
a0,b3,c1,1
a1,b0,c1,1
a2,b3,c1,1
a4,b3,c1,1
a1,b3,c1,1
a4,b4,c1,1
a0,b0,c1,1
a2,b2,c2,1
a0,b2,c2,1
a3,b4,c2,1
a2,b1,c2,1
a0,b4,c2,1
a3,b2,c2,1
a3,b3,c2,1
a4,b3,c2,1
a1,b1,c2,1
a2,b0,c2,1
a1,b2,c2,1
a2,b4,c2,1
a4,b4,c2,1
a1,b3,c2,1
a3,b1,c2,1
a1,b0,c2,1
a4,b0,c2,1
a0,b0,c2,1
a4,b1,c2,1
a0,b3,c2,1
a3,b0,c2,1
a2,b3,c2,1
a0,b1,c2,1
a4,b2,c2,1
a1,b4,c2,1
a0,b4,c3,1
a3,b0,c3,1
a4,b0,c3,1
a2,b0,c3,1
a1,b0,c3,1
a0,b0,c3,1
a2,b1,c3,1
a1,b1,c3,1
a3,b1,c3,1
a4,b1,c3,1
a0,b1,c3,1
a1,b2,c3,1
a0,b2,c3,1
a2,b2,c3,1
a3,b2,c3,1
a4,b2,c3,1
a3,b3,c3,1
a1,b3,c3,1
a0,b3,c3,1
a4,b3,c3,1
a2,b3,c3,1
a3,b4,c3,1
a4,b4,c3,1
a1,b4,c3,1
a2,b4,c3,1
a4,b4,c4,1
a1,b0,c4,1
a3,b3,c4,1
a4,b2,c4,1
a3,b2,c4,1
a4,b0,c4,1
a2,b2,c4,1
a0,b2,c4,1
a1,b2,c4,1
a2,b0,c4,1
a0,b4,c4,1
a1,b4,c4,1
a3,b4,c4,1
a3,b0,c4,1
a3,b1,c4,1
a2,b4,c4,1
a0,b1,c4,1
a4,b1,c4,1
a1,b1,c4,1
a2,b1,c4,1
a1,b3,c4,1
a4,b3,c4,1
a0,b3,c4,1
a0,b0,c4,1
a2,b3,c4,1
